id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge,countries
34,Italy 1GB,0,Europe,2,1,7,esim_1GB_7D_IT_V2,5.00,2.50,1.36,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:47,\N,3,0,
35,Iceland 1GB,0,Europe,2,1,7,esim_1GB_7D_IS_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:46,\N,3,0,
36,Botswana 1GB,0,Africa,2,1,7,maun-telecom-7days-1gb,8.00,7.50,6.60,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:38,\N,1,0,
37,Luxembourg 1GB,0,Europe,2,1,7,esim_1GB_7D_LU_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:49,\N,3,0,
38,Lithuania 1GB,0,Europe,2,1,7,esim_1GB_7D_LT_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:49,\N,3,0,
39,Macao 1GB,0,Asia,2,1,7,esim_1GB_7D_MO_V2,5.00,3.25,2.05,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:49,\N,3,0,
40,Poland 1GB,0,Europe,2,1,7,esim_1GB_7D_PL_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:54,\N,3,0,
41,Latvia 1GB,0,Europe,2,1,7,esim_1GB_7D_LV_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:49,\N,3,0,
42,Gabon 1GB,0,Africa,2,1,7,libreville-7days-1gb,7.00,6.00,5.00,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:43,\N,1,0,
43,Gambia 1GB,0,Africa,2,1,7,wassu-telecom-7days-1gb,9.50,9.00,7.80,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:43,\N,1,0,
44,Ghana 1GB,0,Africa,2,1,7,fifi-mobile-7days-1gb,5.00,4.00,2.70,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:43,\N,1,0,
45,Cape Verde 1GB,0,Africa,2,1,7,fogotel-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:39,\N,1,0,
46,Benin 1GB,0,Africa,2,1,7,cotton-mobile-7days-1gb,9.50,9.00,7.60,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:37,\N,1,0,
47,Andorra 1GB,0,Europe,2,1,7,handi-7days-1gb,4.50,3.00,1.50,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:35,\N,1,0,
48,Malawi 1GB,0,Africa,2,1,7,shire-mobile-7days-1gb,9.00,8.00,6.50,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:50,\N,1,0,
49,Hungary 1GB,0,Europe,2,1,7,esim_1GB_7D_HU_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:46,\N,3,0,
50,Burkina Faso 1GB,0,Africa,2,1,7,volta-7days-1gb,7.00,6.00,4.80,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:38,\N,1,0,
51,Cameroon 1GB,0,Africa,2,1,7,kamtok-telecom-7days-1gb,6.00,5.00,3.60,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:38,\N,1,0,
52,Mauritius 1GB,0,Africa,2,1,7,mornecom-7days-1gb,7.50,6.50,5.30,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:51,\N,1,0,
53,Morocco 1GB,0,Africa,2,1,7,esim_1GB_7D_MA_V2,12.00,9.00,2.28,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:52,\N,3,0,
54,Greece 1GB,0,Europe,2,1,7,esim_1GB_7D_GR_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:44,\N,3,0,
55,Guinea Bissau 1GB,0,Africa,2,1,7,spicetel-7days-1gb,8.00,7.50,6.80,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:45,\N,1,0,
56,Liberia 1GB,0,Africa,2,1,7,mariocom-7days-1gb,6.50,6.00,5.50,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:49,\N,1,0,
57,Madagascar 1GB,0,Africa,2,1,7,madacom-7days-1gb,8.00,6.00,4.10,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:50,\N,1,0,
58,Niger 1GB,0,Africa,2,1,7,letecom-7days-1gb,9.50,8.00,6.00,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:53,\N,1,0,
59,Tanzania 1GB,0,Africa,2,1,7,tanzacomm-7days-1gb,4.50,3.50,2.50,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:58,\N,1,0,
60,South Africa 1GB,0,Africa,2,1,7,cellsa-7days-1gb,4.50,3.50,2.50,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:57,\N,1,0,
61,Plan for Réunion,0,Africa,2,1,7,esimgnr_1GB_7D_RE_U,9.50,7.20,5.22,0,0,0,2023-06-24 13:26:01,2023-11-30 21:37:32,\N,3,0,
62,Zambia 1GB,0,Africa,2,1,7,esim_1GB_7D_ZM_V2,9.50,7.50,6.90,0,0,0,2023-06-24 13:26:01,2024-04-09 16:50:01,\N,3,0,
63,Senegal 1GB,0,Africa,2,1,7,retba-mobile-7days-1gb,6.00,4.80,3.60,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:56,\N,1,0,
