30,Plan for Romania,false,Europe,2,1,7,esimgnr_1GB_7D_RO_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.372Z,2023-07-21T07:52:42.000Z,,,181,Romania,RO,RO,ROU,40,2023-06-24T08:13:46.348Z,2023-06-24T08:15:23.000Z
31,Plan for Portugal,false,Europe,2,1,7,esimgnr_1GB_7D_PT_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.373Z,2023-07-21T07:52:41.000Z,,,177,Portugal,PT,PT,PRT,351,2023-06-24T08:13:46.348Z,2023-06-24T08:15:22.000Z
32,Plan for Switzerland,false,Europe,2,1,7,esimgnr_1GB_7D_CH_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.379Z,2023-07-21T07:52:42.000Z,,,214,Switzerland,CH,CH,CHE,41,2023-06-24T08:13:46.348Z,2023-06-24T08:15:43.000Z
33,Plan for Norway,false,Europe,2,1,7,esimgnr_1GB_7D_NO_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.379Z,2023-07-21T07:52:41.000Z,,,165,Norway,NO,NO,NOR,47,2023-06-24T08:13:46.348Z,2023-06-24T08:15:14.000Z
34,Plan for Italy,false,Europe,2,1,7,esimgnr_1GB_7D_IT_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.380Z,2023-07-21T07:52:41.000Z,,,107,Italy,IT,IT,ITA,39,2023-06-24T08:13:46.348Z,2023-06-24T08:14:43.000Z
35,Plan for Iceland,false,Europe,2,1,7,esimgnr_1GB_7D_IS_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.385Z,2023-07-21T07:52:41.000Z,,,100,Iceland,IS,IS,ISL,354,2023-06-24T08:13:46.348Z,2023-06-24T08:14:39.000Z
37,Plan for Luxembourg,false,Europe,2,1,7,esimgnr_1GB_7D_LU_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.386Z,2023-07-21T07:52:41.000Z,,,127,Luxembourg,LU,LU,LUX,352,2023-06-24T08:13:46.348Z,2023-06-24T08:14:55.000Z
38,Plan for Lithuania,false,Europe,2,1,7,esimgnr_1GB_7D_LT_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.392Z,2023-07-21T07:52:41.000Z,,,126,Lithuania,LT,LT,LTU,370,2023-06-24T08:13:46.348Z,2023-06-24T08:14:55.000Z
39,Plan for Macao,false,Asia,2,1,7,esimgnr_1GB_7D_MO_U,5,2.5,2.2,false,false,false,2023-06-24T08:26:01.393Z,2023-07-21T07:52:39.000Z,,,128,Macau S.A.R.,MO,MO,MAC,853,2023-06-24T08:13:46.348Z,2023-06-24T08:14:56.000Z
40,Plan for Poland,false,Europe,2,1,7,esimgnr_1GB_7D_PL_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.396Z,2023-07-21T07:52:41.000Z,,,176,Poland,PL,PL,POL,48,2023-06-24T08:13:46.348Z,2023-06-24T08:15:21.000Z
