id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,countries,recharge
833,Aaland Islands UNL 5D,0,Europe,2,Unlimited,5,esim_UL_5D_AX_V2,25,17.5,11.2,0,0,0,2024-04-09 16:49:34,2024-04-09 16:49:34,\N,3,,0
834,Aaland Islands UNL 7D,0,Europe,2,Unlimited,7,esim_UL_7D_AX_V2,30,20,15.49,0,0,0,2024-04-09 16:49:34,2024-04-09 16:49:34,\N,3,,0
613,Afghanistan 10GB,0,Middle East,2,10,30,30,88,86,0,0,0,0,2023-09-04 15:58:47,2024-04-09 16:49:34,2023-12-06 13:10:56,2,,0
590,Afghanistan 10GB,0,Middle East,2,10,30,30,88,86,79.11,0,0,0,2023-06-24 13:26:03,2024-04-09 16:49:34,2023-12-06 13:10:50,2,,0
96,Afghanistan 1GB,0,Middle East,2,1,7,sohbat-mobile-7days-1gb,8,6.5,4.5,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:34,\N,1,,0
579,Afghanistan 3GB,0,Middle East,2,3,30,sohbat-mobile-30days-3gb,17,14.5,12.6,0,0,0,2023-06-24 13:26:03,2024-04-09 16:49:34,\N,1,,0
577,Afghanistan 5GB,0,Middle East,2,5,30,sohbat-mobile-30days-5gb,25.5,23.5,21.5,0,0,0,2023-06-24 13:26:03,2024-04-09 16:49:34,2023-12-06 13:10:37,1,,0
806,Africa 29 10GB,0,Africa,2,10,30,CKH498,100,90,0,0,0,1,2023-12-08 23:25:24,2024-04-09 16:49:34,\N,4,,0
807,Africa 29 20GB,0,Africa,2,20,30,CKH846,150,130,0,0,0,1,2023-12-08 23:31:12,2024-04-09 16:49:34,\N,4,,0
835,Africa UNL 10D,0,Africa,2,Unlimited,10,esim_UL_10D_RAF_V2,100,95,86.27,0,0,0,2024-04-09 16:49:34,2024-04-09 16:49:34,\N,3,,0
836,Africa UNL 15D,0,Africa,2,Unlimited,15,esim_UL_15D_RAF_V2,150,142,129.17,0,0,0,2024-04-09 16:49:34,2024-04-09 16:49:34,\N,3,,0
837,Africa UNL 1D,0,Africa,2,Unlimited,1,esim_UL_1D_RAF_V2,12.5,11,9.05,0,0,0,2024-04-09 16:49:34,2024-04-09 16:49:34,\N,3,,0
838,Africa UNL 3D,0,Africa,2,Unlimited,3,esim_UL_3D_RAF_V2,36,32,26.21,0,0,0,2024-04-09 16:49:34,2024-04-09 16:49:34,\N,3,,0
839,Africa UNL 5D,0,Africa,2,Unlimited,5,esim_UL_5D_RAF_V2,60,54,43.37,0,0,0,2024-04-09 16:49:34,2024-04-09 16:49:34,\N,3,,0
