id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge_only,platinum_price,countries
39,Macao 1GB,0,Asia,2,1,7,esim_1GB_7D_MO_V2,5.00,3.50,2.05,0,0,0,26:01.4,07:21.7,\N,3,0,2.80,MAC
40,Poland 1GB,0,Europe,2,1,7,esim_1GB_7D_PL_V2,5.00,2.50,1.45,0,0,0,26:01.4,07:21.7,\N,3,0,2.00,POL
41,Latvia 1GB,0,Europe,2,1,7,esim_1GB_7D_LV_V2,5.00,2.50,1.45,0,0,0,26:01.4,07:21.7,\N,3,0,2.00,LVA
42,Gabon 1GB,0,Africa,2,1,7,libreville-7days-1gb,7.00,6.00,5.00,0,0,0,26:01.4,07:21.7,\N,1,0,5.50,GAB
43,Gambia 1GB,0,Africa,2,1,7,wassu-telecom-7days-1gb,9.50,9.00,7.80,0,0,0,26:01.4,07:21.7,\N,1,0,8.40,GMB
44,Ghana 1GB,0,Africa,2,1,7,fifi-mobile-7days-1gb,5.00,4.00,2.70,0,0,0,26:01.4,07:21.7,\N,1,0,3.40,GHA
45,Cape Verde 1GB,0,Africa,2,1,7,fogotel-7days-1gb,10.00,9.50,8.10,0,0,0,26:01.4,07:21.7,\N,1,0,8.80,CPV
46,Benin 1GB,0,Africa,2,1,7,cotton-mobile-7days-1gb,9.50,9.00,7.60,0,0,0,26:01.4,07:21.7,\N,1,0,8.30,BEN
47,Andorra 1GB,0,Europe,2,1,7,handi-7days-1gb,5.00,3.00,1.50,0,0,0,26:01.4,07:21.7,\N,1,0,2.30,AND
48,Malawi 1GB,0,Africa,2,1,7,shire-mobile-7days-1gb,9.00,8.00,6.50,0,0,0,26:01.4,07:21.7,\N,1,0,7.30,MWI
49,Hungary 1GB,0,Europe,2,1,7,esim_1GB_7D_HU_V2,5.00,2.50,1.45,0,0,0,26:01.4,07:21.7,\N,3,0,2.00,HUN
50,Burkina Faso 1GB,0,Africa,2,1,7,volta-7days-1gb,7.00,6.00,4.80,0,0,0,26:01.4,07:21.7,\N,1,0,5.40,BFA
51,Cameroon 1GB,0,Africa,2,1,7,kamtok-telecom-7days-1gb,6.00,5.00,3.60,0,0,0,26:01.4,07:21.7,\N,1,0,4.30,CMR
52,Mauritius 1GB,0,Africa,2,1,7,mornecom-7days-1gb,7.50,6.50,5.30,0,0,0,26:01.4,07:21.7,\N,1,0,5.90,MUS
53,Morocco 1GB,0,Africa,2,1,7,esim_1GB_7D_MA_V2,5.00,4.00,2.28,0,0,0,26:01.4,07:21.7,\N,3,0,3.20,MAR
54,Greece 1GB,0,Europe,2,1,7,esim_1GB_7D_GR_V2,5.00,2.50,1.45,0,0,0,26:01.4,07:21.7,\N,3,0,2.00,GRC
55,Guinea Bissau 1GB,0,Africa,2,1,7,spicetel-7days-1gb,8.00,7.50,6.80,0,0,0,26:01.4,07:21.7,\N,1,0,7.20,GNB
56,Liberia 1GB,0,Africa,2,1,7,mariocom-7days-1gb,8.00,7.00,5.50,0,0,0,26:01.4,07:21.7,\N,1,0,6.30,LBR
57,Madagascar 1GB,0,Africa,2,1,7,madacom-7days-1gb,8.00,6.00,4.10,0,0,0,26:01.4,07:21.7,\N,1,0,5.10,MDG
