id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,countries
541,Africa-11 5GB,0,Africa,2,5,30,esim_5GB_30D_RAF_V2,45,35,28.79,0,0,1,2023-06-24 13:26:03,2023-09-13 15:38:59,\N,3,"EG,MA,TZ,UG,TN,ZA,ZM,MG,NG,KE,MU"
598,Africa-24 10GB,0,Africa,2,10,30,14,150,140,131.56,0,0,1,2023-06-24 13:26:03,2023-11-17 18:54:56,2023-11-17 18:54:57,2,"BW,BF,CF,TD,CG,CD,CI,GA,GH,GN,GW,KE,LR,MG,MW,NA,NE,NG,RW,SN,SL,SO,ZA,UG"
788,Africa-24 10GB,0,Africa,2,10,365,14,165,160,0,0,0,1,2023-09-14 11:19:52,2024-01-12 19:33:09,2023-11-17 18:50:14,2,"BW,BF,CF,CG,CD,CI,GA,GH,GN,GW,KE,LR,MG,MW,NA,NE,NG,RW,SN,SL,ZA,TO,UG,SZ"
786,Africa-24 1GB,0,Africa,2,1,365,14,30,27,24,0,0,1,2023-09-14 11:07:27,2024-01-12 19:33:09,2023-11-17 18:49:40,2,"BW,BF,CF,CG,CD,CI,GA,GH,GN,GW,KE,LR,MG,MW,NA,NE,NG,RW,SN,SL,ZA,TO,UG,SZ"
566,Africa-24 1GB,0,Africa,2,1,7,14,30,25,20.84,0,0,1,2023-06-24 13:26:03,2023-11-17 18:54:48,2023-11-17 18:54:48,2,"BW,BF,CF,TD,CG,CD,CI,GA,GH,GN,GW,KE,LR,MG,MW,NA,NE,NG,RW,SN,SL,SO,ZA,UG"
825,Africa-24 1GB,0,Africa,2,1,7,21,9,7.5,0,0,0,1,2024-03-14 14:32:11,2024-03-14 20:48:12,\N,2,"BW,BF,CF,CG,CD,CI,GA,GH,GN,GW,KE,LR,MG,MW,NA,NE,NG,RW,SN,SL,ZA,UG,ZM,SZ"
789,Africa-24 25GB,0,Africa,2,25,365,14,375,371,300,0,0,1,2023-09-14 11:23:16,2024-01-12 19:33:09,2023-11-17 18:50:35,2,"BW,BF,CF,CG,CD,CI,GA,GH,GN,GW,KE,LR,MG,MW,NA,NE,NG,RW,SN,SL,ZA,TO,UG,SZ"
781,Africa-24 3GB,0,Africa,2,3,30,21,42,38,0,0,0,1,2023-09-06 16:09:46,2023-11-17 18:54:52,2023-11-17 18:54:53,2,"BW,BF,CF,CG,CD,CI,GA,GH,GN,GW,KE,LR,MG,MW,NA,NE,NG,RW,SN,SL,ZA,UG,ZM,SZ"
584,Africa-24 5GB,0,Africa,2,5,30,14,90,80,69.23,0,0,1,2023-06-24 13:26:03,2023-11-17 18:55:00,2023-11-17 18:55:01,2,"BW,BF,CF,TD,CG,CD,CI,GA,GH,GN,GW,KE,LR,MG,MW,NA,NE,NG,RW,SN,SL,SO,ZA,UG"
787,Africa-24 5GB,0,Africa,2,5,365,14,90,85,0,0,0,1,2023-09-14 11:15:45,2024-01-12 19:33:09,2023-11-17 18:49:56,2,"BW,BF,CF,CG,CD,CI,GA,GH,GN,GW,KE,LR,MG,MW,NA,NE,NG,RW,SN,SL,ZA,TO,UG,SZ"
